"Food","Enter","Edu","Trans","Work","House","Oth"
0.184,0.028,0.002,0.209,0.129,0.34,0.109
0.036,0.038,0.627,0.183,0.004,0.106,0.006
0.205,0.013,0.112,0.12,0.109,0.341,0.099
0.207,0.02,0.091,0.109,0.101,0.323,0.15
0.045,0.089,0.578,0.153,0.004,0.119,0.012
0.196,0.012,0.094,0.048,0.083,0.475,0.091
0.118,0.047,0.002,0.251,0.187,0.18,0.216
0.096,0.038,0.002,0.25,0.136,0.305,0.173
0.222,0.016,0.07,0.09,0.029,0.451,0.121
0.147,0.034,0.002,0.29,0.123,0.254,0.15
0.039,0.042,0.66,0.12,0.004,0.128,0.006
0.048,0.077,0.534,0.157,0.005,0.169,0.011
0.05,0.067,0.622,0.151,0.006,0.096,0.01
0.047,0.042,0.533,0.244,0.005,0.123,0.006
0.12,0.054,0.002,0.186,0.107,0.269,0.262
0.027,0.049,0.567,0.184,0.004,0.161,0.007
0.168,0.018,0.09,0.142,0.078,0.371,0.133
0.029,0.059,0.592,0.17,0.003,0.138,0.008
0.154,0.032,0.002,0.244,0.133,0.3,0.134
0.147,0.051,0.002,0.231,0.1,0.231,0.238
0.038,0.05,0.638,0.172,0.004,0.091,0.007
0.214,0.042,0.002,0.273,0.06,0.217,0.192
0.098,0.035,0.002,0.263,0.131,0.315,0.156
0.05,0.054,0.604,0.22,0.005,0.059,0.008
0.051,0.048,0.472,0.244,0.006,0.172,0.007
0.172,0.027,0.002,0.232,0.146,0.31,0.111
0.048,0.065,0.523,0.221,0.004,0.128,0.009
0.149,0.047,0.002,0.271,0.098,0.211,0.222
0.133,0.034,0.002,0.156,0.145,0.381,0.149
0.109,0.059,0.002,0.241,0.147,0.163,0.279
0.045,0.044,0.565,0.177,0.004,0.158,0.006
0.041,0.068,0.585,0.191,0.005,0.101,0.01
0.028,0.051,0.627,0.182,0.005,0.099,0.007
0.119,0.042,0.002,0.212,0.119,0.313,0.193
0.123,0.037,0.002,0.232,0.162,0.276,0.168
0.031,0.047,0.538,0.162,0.004,0.211,0.007
0.046,0.065,0.694,0.084,0.005,0.097,0.009
0.036,0.051,0.579,0.186,0.003,0.138,0.007
0.029,0.071,0.611,0.124,0.005,0.152,0.01
0.053,0.053,0.554,0.189,0.005,0.139,0.008
0.237,0.019,0.026,0.099,0.085,0.391,0.144
0.123,0.034,0.002,0.232,0.139,0.321,0.149
0.036,0.067,0.581,0.185,0.004,0.117,0.01
0.055,0.022,0.574,0.283,0.006,0.056,0.004
0.058,0.066,0.461,0.249,0.004,0.152,0.01
0.15,0.046,0.002,0.215,0.077,0.3,0.211
0.12,0.036,0.002,0.219,0.14,0.326,0.157
0.114,0.05,0.002,0.275,0.068,0.25,0.241
0.225,0.02,0.087,0.092,0.034,0.39,0.153
0.057,0.053,0.576,0.177,0.004,0.125,0.008
0.055,0.062,0.542,0.224,0.006,0.101,0.009
0.035,0.082,0.519,0.173,0.005,0.174,0.012
0.121,0.046,0.001,0.204,0.164,0.246,0.218
0.038,0.068,0.532,0.199,0.007,0.147,0.01
0.147,0.036,0.002,0.209,0.189,0.251,0.166
0.136,0.028,0.002,0.283,0.164,0.273,0.114
0.135,0.039,0.002,0.224,0.123,0.299,0.179
0.035,0.062,0.538,0.205,0.004,0.147,0.009
0.06,0.074,0.436,0.233,0.005,0.182,0.011
0.248,0.016,0.122,0.026,0.058,0.417,0.113
0.142,0.033,0.002,0.252,0.182,0.241,0.149
0.037,0.056,0.67,0.14,0.003,0.085,0.008
